Run,Final_Score,Best_Params,Best_Objs
Run_1,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_2,0.0161420000000001,"{'vds': 20.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.17474, 'PAE': 14.838579999999999, 'Tj': 90.97001}"
Run_3,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_4,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 78.0}","{'Pout': 23.07396, 'PAE': 15.258339999999999, 'Tj': 94.6454}"
Run_5,0.0,"{'vds': 20.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.85512, 'PAE': 15.80236, 'Tj': 91.21392}"
Run_6,0.16512680000000018,"{'vds': 24.0, 'nfing': 4.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.34896, 'PAE': 15.192070000000001, 'Tj': 103.25634000000001}"
Run_7,0.04088239999999985,"{'vds': 20.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 22.0, 'gsg': 78.0}","{'Pout': 23.557570000000002, 'PAE': 15.4568, 'Tj': 97.04411999999999}"
Run_8,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_9,0.02603660000000019,"{'vds': 20.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 33.0}","{'Pout': 23.15679, 'PAE': 15.110879999999998, 'Tj': 96.30183000000001}"
Run_10,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_11,0.0,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.5629, 'PAE': 15.388079999999999, 'Tj': 94.09775}"
Run_12,0.0,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.5629, 'PAE': 15.388079999999999, 'Tj': 94.09775}"
Run_13,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_14,0.07028080000000017,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 22.0, 'gsg': 78.0}","{'Pout': 24.25374, 'PAE': 15.09748, 'Tj': 98.51404000000001}"
Run_15,0.0,"{'vds': 20.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.85512, 'PAE': 15.80236, 'Tj': 91.21392}"
Run_16,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
Run_17,0.0161420000000001,"{'vds': 20.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.17474, 'PAE': 14.838579999999999, 'Tj': 90.97001}"
Run_18,0.0,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100, 'gdg': 52, 'gsg': 78}","{'Pout': 24.5629, 'PAE': 15.388079999999999, 'Tj': 94.09775}"
Run_19,0.034574599999999976,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 48.0}","{'Pout': 24.25682, 'PAE': 15.088420000000001, 'Tj': 96.72873}"
Run_20,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 78.0}","{'Pout': 23.07396, 'PAE': 15.258339999999999, 'Tj': 94.6454}"
Run_21,0.0,"{'vds': 20.0, 'nfing': 6.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 23.26725, 'PAE': 15.081570000000001, 'Tj': 91.05884}"
