Run,Final_Score,Best_Params,Best_Objs
Run_1,0.0009021695652179362,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.97925009999999, 'Gain': 1.5321122, 'NF_min': 1.2194268999999998}"
Run_2,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_3,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_4,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_5,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_6,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_7,0.005416031993437125,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.986799, 'Gain': 2.453375, 'NF_min': 1.2225663}"
Run_8,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_9,0.04860730853158365,"{'vds': 22.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.60151529999999, 'Gain': 2.4997021, 'NF_min': 1.2365793999999999}"
Run_10,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_11,0.005265434782608658,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 78.0}","{'fmax': 112.878895, 'Gain': 1.8075803, 'NF_min': 1.1820918}"
Run_12,0.032545088187039,"{'vds': 22.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.6329375, 'Gain': 1.5109456, 'NF_min': 1.2287905000000001}"
Run_13,0.0009021695652179362,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.97925009999999, 'Gain': 1.5321122, 'NF_min': 1.2194268999999998}"
Run_14,0.013000350451189274,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.8449676, 'Gain': 2.5533046, 'NF_min': 1.2233177}"
Run_15,0.016330352173912654,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_16,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_17,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_18,0.012823669565218299,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.70505559999998, 'Gain': 2.2197804, 'NF_min': 1.2094913999999999}"
Run_19,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_20,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_21,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_22,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.25443200000001, 'Gain': 2.1980245, 'NF_min': 1.2166373}"
Run_23,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_24,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_25,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_26,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_27,0.010975191304347653,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.7475706, 'Gain': 2.0335631000000003, 'NF_min': 1.2118649}"
Run_28,0.014412152173912451,"{'vds': 20.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 63.0}","{'fmax': 112.66852050000001, 'Gain': 1.5864638, 'NF_min': 1.2111461000000001}"
Run_29,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_30,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_31,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_32,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_33,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_34,0.016086852173913258,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 63.0}","{'fmax': 112.6300024, 'Gain': 2.0968891, 'NF_min': 1.2050937}"
Run_35,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_36,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_37,0.002774763494668376,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.98516609999999, 'Gain': 2.6846943, 'NF_min': 1.2211288}"
Run_38,0.003968499999999819,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9087245, 'Gain': 2.2714587, 'NF_min': 1.2047835}"
Run_39,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_40,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_41,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_42,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.25443200000001, 'Gain': 2.1980245, 'NF_min': 1.2166373}"
Run_43,0.011047113043477719,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.74591640000001, 'Gain': 2.3790294, 'NF_min': 1.2094904}"
Run_44,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_45,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_46,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_47,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.25443200000001, 'Gain': 2.1980245, 'NF_min': 1.2166373}"
Run_48,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_49,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_50,0.02277779146841696,"{'vds': 18.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.5167774, 'Gain': 2.1222319, 'NF_min': 1.2209371}"
Run_51,0.010835752173912971,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 63.0}","{'fmax': 112.7507777, 'Gain': 1.9198042000000002, 'NF_min': 1.187309}"
Run_52,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_53,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_54,0.014501878260869905,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 63.0}","{'fmax': 112.66645679999999, 'Gain': 2.0066861, 'NF_min': 1.2071781000000001}"
Run_55,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_56,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_57,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_58,0.01625201304347801,"{'vds': 18.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.6262037, 'Gain': 1.9746351999999998, 'NF_min': 1.2162522}"
Run_59,0.0169837608695651,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 48.0}","{'fmax': 112.6093735, 'Gain': 2.2154051, 'NF_min': 1.2120296999999998}"
Run_60,0.013000350451189274,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.8449676, 'Gain': 2.5533046, 'NF_min': 1.2233177}"
Run_61,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_62,0.006402313453650949,"{'vds': 16.0, 'nfing': 8.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.9874183, 'Gain': 1.6533647, 'NF_min': 1.2231033000000002}"
Run_63,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_64,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_65,0.014501878260869905,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 63.0}","{'fmax': 112.66645679999999, 'Gain': 2.0066861, 'NF_min': 1.2071781000000001}"
Run_66,0.010975191304347653,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.7475706, 'Gain': 2.0335631000000003, 'NF_min': 1.2118649}"
Run_67,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.25443200000001, 'Gain': 2.1980245, 'NF_min': 1.2166373}"
Run_68,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_69,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_70,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_71,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_72,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_73,0.006402313453650949,"{'vds': 16.0, 'nfing': 8.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.9874183, 'Gain': 1.6533647, 'NF_min': 1.2231033000000002}"
Run_74,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_75,0.012412399999999879,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 78.0}","{'fmax': 112.7145148, 'Gain': 1.896586, 'NF_min': 1.2015813}"
Run_76,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_77,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_78,0.006402313453650949,"{'vds': 16.0, 'nfing': 8.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.9874183, 'Gain': 1.6533647, 'NF_min': 1.2231033000000002}"
Run_79,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_80,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_81,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_82,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_83,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
