vds,nfing,wf,gdg,gsg,fmax,gain,nf
16.0,2.0,25.0,22.0,78.0,113.2470146,1.475483,1.2131411
16.0,2.0,25.0,37.0,78.0,113.02610190000001,1.2658679,1.1983537
16.0,2.0,25.0,52.0,78.0,112.8729605,1.0143337,1.1786927
16.0,4.0,25.0,22.0,33.0,112.76304669999999,2.7881562,1.2255818
16.0,4.0,25.0,22.0,48.0,112.98516609999999,2.6846943,1.2211288
16.0,4.0,25.0,22.0,63.0,113.13791090000002,2.5913015,1.2177373
16.0,4.0,25.0,22.0,78.0,113.2528358,2.5039217000000002,1.2149732
16.0,4.0,25.0,37.0,48.0,112.74591640000001,2.3790294,1.2094904
16.0,4.0,25.0,37.0,63.0,112.9087245,2.2714587,1.2047835
16.0,4.0,25.0,37.0,78.0,113.03196499999999,2.1717687000000003,1.2009048
16.0,4.0,25.0,52.0,33.0,112.341398,2.1806727,1.2016783000000002
16.0,4.0,25.0,52.0,48.0,112.582353,2.0420839,1.1936031999999999
16.0,4.0,25.0,52.0,63.0,112.7507777,1.9198042000000002,1.187309
16.0,4.0,25.0,52.0,78.0,112.878895,1.8075803,1.1820918
16.0,6.0,25.0,22.0,78.0,113.25443200000001,2.1980245,1.2166373
16.0,6.0,25.0,37.0,78.0,113.03358349999999,1.7485043999999998,1.203767
16.0,6.0,25.0,52.0,78.0,112.8805365,1.2716014,1.1863697
16.0,8.0,25.0,22.0,78.0,113.25503459999999,1.3280336000000001,1.2172527
16.0,8.0,25.0,37.0,78.0,113.0341969,0.7906489999999999,1.2046561000000002
16.0,8.0,25.0,52.0,78.0,112.88116000000001,0.23325079999999998,1.1875826
16.0,2.0,50.0,22.0,33.0,109.04075379999999,3.0768269,1.2553169
16.0,2.0,50.0,22.0,48.0,109.3102119,3.0525729999999998,1.251466
16.0,2.0,50.0,22.0,63.0,109.49937340000001,3.0322803,1.2485629999999999
16.0,2.0,50.0,22.0,78.0,109.64376659999999,3.014616,1.2462152
18.0,4.0,25.0,22.0,33.0,112.5270166,2.8335556,1.2346728999999999
18.0,2.0,50.0,22.0,63.0,109.48456840000001,3.0781501000000002,1.2576631999999999
18.0,2.0,50.0,22.0,78.0,109.58400759999999,3.0614244,1.2551208
20.0,4.0,25.0,22.0,33.0,112.67257579999999,2.8669147999999995,1.2459105
22.0,4.0,25.0,22.0,33.0,112.6332558,2.9563208999999997,1.2435817
22.0,4.0,25.0,22.0,48.0,112.64731470000001,2.8588915,1.2382116
22.0,4.0,25.0,52.0,78.0,112.6402357,1.9875042,1.1993711
22.0,6.0,25.0,22.0,33.0,112.6354993,2.9134069,1.2449853000000002
22.0,4.0,37.5,22.0,33.0,111.393528,3.126761,1.2593097
22.0,4.0,37.5,22.0,48.0,111.42592350000001,3.0434442,1.2543986
22.0,2.0,50.0,22.0,33.0,109.78121780000001,3.2376053,1.2745788999999998
22.0,2.0,50.0,22.0,48.0,109.83794579999999,3.2180726,1.2697739
22.0,2.0,50.0,22.0,63.0,109.86889040000001,3.2013222000000003,1.2661673
22.0,2.0,50.0,22.0,78.0,109.88698079999999,3.1865118999999997,1.2632606000000002
22.0,2.0,62.5,22.0,33.0,107.8952155,3.35698,1.2958366000000001
22.0,2.0,62.5,22.0,48.0,107.9809895,3.3433116999999997,1.2910823
22.0,2.0,62.5,22.0,63.0,108.0331759,3.3313493999999997,1.2875244
22.0,2.0,62.5,22.0,78.0,108.06804129999999,3.3206489,1.2846635
24.0,4.0,25.0,22.0,33.0,111.64337350000001,2.9726539,1.2504645
24.0,6.0,25.0,22.0,33.0,111.64578030000001,2.9647348,1.2518801000000002
24.0,4.0,37.5,22.0,33.0,110.48644920000001,3.1779147,1.2663872
24.0,2.0,50.0,22.0,33.0,108.9805568,3.2514957000000004,1.2818715
24.0,2.0,62.5,22.0,33.0,107.2193602,3.3886586000000003,1.3034578
24.0,2.0,62.5,22.0,48.0,107.2556507,3.3765648,1.2983854
24.0,2.0,62.5,22.0,63.0,107.27169009999999,3.3657790000000003,1.2945935
24.0,2.0,62.5,22.0,78.0,107.27805759999998,3.3560233,1.2915471
26.0,4.0,37.5,22.0,33.0,109.69353970000002,3.2318046000000002,1.2741381
26.0,2.0,50.0,22.0,33.0,108.2851388,3.2667589,1.2898503000000001
26.0,2.0,62.5,22.0,33.0,106.63812720000001,3.4225607000000005,1.3117907
26.0,2.0,62.5,22.0,48.0,106.62592140000001,3.4120461000000004,1.3064026000000002
26.0,2.0,62.5,22.0,63.0,106.6067365,3.4024385,1.3023788
26.0,2.0,62.5,22.0,78.0,106.585471,3.3936277,1.2991487
28.0,4.0,37.5,22.0,33.0,108.18157690000001,3.252193,1.2846356
28.0,2.0,62.5,22.0,33.0,105.3031861,3.4261244,1.3230049
28.0,2.0,75.0,22.0,33.0,103.59035329999999,3.4337762,1.3498796
28.0,2.0,75.0,22.0,48.0,103.57003900000001,3.4298268,1.3441162
