batchNum,vds,vgs,wg,nfing,gdg,gsg,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM
1,16,-1.6,25,2,22,33,2.57335,8.7936,-32.56647,43.572,0.22416,11.21916,-57.45609,21.0947,-12.03034,11.44332,9.06436,8.008
2,16,-1.6,25,2,22,48,2.56678,9.80348,-32.57704,44.8208,0.23421,11.06614,-56.47687,21.08358,-11.41954,11.29925,9.66404,7.99622
3,16,-1.6,25,2,22,78,2.56061,12.73322,-32.50278,46.68796,0.29723,10.78875,-54.19726,21.07313,-9.86116,11.08184,11.21197,7.97951
4,16,-1.6,25,2,52,48,2.7074,12.00686,-32.49936,45.82948,0.31478,10.4065,-54.53414,21.31522,-10.39885,10.7208,10.91638,8.02102
5,16,-1.6,25,2,52,78,2.67985,22.70565,-31.87592,53.43885,0.70345,9.58397,-49.07031,21.27081,-5.9983,10.2844,15.27251,7.99784
6,16,-1.6,25,4,22,33,2.56111,7.79997,-32.31139,43.5613,0.21638,11.71418,-58.48463,24.08427,-12.76543,11.93056,11.31885,7.99207
7,16,-1.6,25,4,22,48,2.54654,9.1095,-32.29566,44.70741,0.24652,11.41609,-57.28674,24.05951,-11.91564,11.6626,12.14387,7.97888
8,16,-1.6,25,4,22,78,2.48101,13.16325,-32.05745,46.47026,0.42187,10.75542,-54.22172,23.94629,-9.64791,11.17729,14.29837,8.01251
9,16,-1.6,25,4,52,48,2.66297,19.0898,-31.64458,52.19881,0.71081,9.79865,-49.69443,24.25366,-7.15246,10.50947,17.10119,8.00664
10,16,-1.6,25,4,52,78,2.5192,22.71379,-31.46459,55.79377,0.95499,8.86522,-50.04317,24.01262,-5.38423,9.82021,18.62839,7.99407
11,16,-1.6,25,6,22,33,2.60192,8.98434,-32.01958,44.42863,0.29169,11.38406,-56.94597,25.91385,-12.04427,11.67574,13.86958,8.00488
12,16,-1.6,25,6,22,48,2.57343,10.71352,-31.91747,46.30462,0.33561,11.03396,-55.3634,25.86604,-10.99357,11.36957,14.87247,7.99764
13,16,-1.6,25,6,22,78,2.48869,20.05388,-31.13032,52.25661,0.78723,10.05064,-50.17265,25.72063,-6.67392,10.83788,19.04671,7.98893
14,16,-1.6,25,6,52,48,2.51205,11.63702,-31.89147,45.63513,0.37147,10.44554,-54.38211,25.7612,-10.27278,10.81701,15.48842,7.99246
15,16,-1.6,25,6,52,78,2.63683,22.58618,-31.04458,54.42232,0.90442,9.1823,-50.00337,25.97173,-5.83098,10.08671,20.14075,7.98245
16,16,-1.6,25,8,22,33,2.46169,11.0411,-31.66487,45.46472,0.49069,11.26654,-55.25326,26.92263,-10.74132,11.75723,16.18131,7.98774
17,16,-1.6,25,8,22,48,2.42724,13.70751,-31.42805,47.68125,0.59521,10.83884,-53.59597,26.86143,-9.37779,11.43405,17.48365,7.98334
18,16,-1.6,25,8,22,78,2.31531,19.85016,-30.875,51.71379,0.96796,9.87226,-50.8656,26.65639,-6.49711,10.84022,20.15928,7.97835
19,16,-1.6,25,8,52,48,2.67389,11.36227,-31.66365,45.17736,0.41053,10.59452,-54.48283,27.28173,-10.75609,11.00505,16.52564,7.9839
20,16,-1.6,25,8,52,78,2.56484,21.92106,-30.76122,53.34885,0.90706,9.327,-50.21774,27.10089,-6.0749,10.23406,21.026,7.97601
21,16,-1.6,50,2,22,33,2.40977,12.93595,-32.1024,48.99651,0.51417,10.8617,-54.27479,23.81976,-9.70189,11.37587,14.11787,8.01227
22,16,-1.6,50,2,22,48,2.41201,14.3607,-32.01809,49.95843,0.55686,10.75787,-53.56011,23.82378,-9.06273,11.31472,14.76105,8.00995
23,16,-1.6,50,2,22,78,2.41549,20.43884,-31.57759,54.40291,0.82122,10.39934,-49.99506,23.83005,-6.73208,11.22056,17.09797,8.00654
24,16,-1.6,50,2,52,48,2.32918,21.67421,-31.56859,54.92824,1.01102,9.8785,-49.63307,23.67204,-6.04778,10.88952,17.62426,8.00121
25,16,-1.6,50,2,52,78,2.32127,23.42364,-31.46461,55.19915,1.03896,9.65606,-49.67592,23.65725,-5.45635,10.69502,18.2009,7.99651
26,16,-1.6,50,4,22,33,2.40019,12.07889,-31.59265,50.21924,0.51145,10.84092,-54.0988,26.81275,-10.04675,11.35236,16.766,7.98372
27,16,-1.6,50,4,22,48,2.40003,14.83248,-31.32613,52.31793,0.60685,10.6126,-52.77735,26.81247,-8.79641,11.21945,18.01605,7.98147
28,16,-1.6,50,4,22,78,2.39465,22.0198,-30.65678,56.33526,0.91877,10.07092,-50.35655,26.80271,-6.06118,10.98969,20.74153,7.97816
29,16,-1.6,50,4,52,48,2.34341,21.32002,-30.79681,55.15587,0.98011,9.93601,-50.25496,26.70878,-6.19021,10.91611,20.51858,7.97798
30,16,-1.6,50,4,52,78,2.30918,23.73263,-30.60229,56.51602,1.05102,9.52235,-50.38882,26.64488,-5.27934,10.57337,21.36554,8.02465
31,16,-1.6,50,6,22,33,2.38307,13.65685,-30.91376,51.81984,0.76011,10.62708,-53.03099,28.54258,-9.31122,11.38719,19.23136,8.02371
32,16,-1.6,50,6,22,48,2.39364,17.09408,-30.50751,54.7612,0.87071,10.35655,-51.68717,28.56181,-7.87588,11.22726,20.68592,8.0224
33,16,-1.6,50,6,22,78,2.39478,22.03137,-29.99681,57.00095,1.02126,9.89236,-50.57803,28.56387,-6.03252,10.91362,22.53135,8.02035
34,16,-1.6,50,6,52,48,2.34837,22.22615,-30.05767,57.07865,1.11854,9.59739,-50.6205,28.47888,-5.75757,10.71593,22.72131,8.01972
35,16,-1.6,50,6,52,78,2.29993,23.45276,-29.9712,57.84151,1.09894,9.19413,-50.71543,28.38835,-5.13051,10.29307,23.25784,8.01789
36,16,-1.6,50,8,22,33,2.30788,13.33913,-30.49129,52.03803,0.74137,10.64416,-52.83065,29.65273,-9.34517,11.38553,20.30756,8.0197
37,16,-1.6,50,8,22,48,2.32591,16.69365,-30.01526,54.26384,0.81358,10.38067,-51.37049,29.68652,-7.9458,11.19425,21.74073,8.0187
38,16,-1.6,50,8,22,78,2.31881,21.79392,-29.41681,56.5718,0.92109,9.86359,-50.07439,29.67326,-6.01384,10.78468,23.65942,8.01713
39,16,-1.6,50,8,52,48,2.30369,20.88209,-29.5375,56.46248,1.0219,9.64036,-50.17508,29.64484,-6.04962,10.66226,23.59522,8.01741
40,16,-1.6,50,8,52,78,2.25365,22.76045,-29.36497,58.03025,0.97654,9.1798,-50.09186,29.54947,-5.19077,10.15634,24.3587,8.01592
41,16,-1.6,75,2,22,33,2.30163,23.22765,-31.07627,61.71752,1.27303,9.51175,-49.98008,25.38127,-5.41618,10.78478,19.9651,7.98238
42,16,-1.6,75,2,22,48,2.30705,23.66319,-31.04736,61.71386,1.26536,9.48995,-50.07728,25.39149,-5.29722,10.75531,20.09427,7.98165
43,16,-1.6,75,2,22,78,2.31967,24.42324,-30.98671,60.45297,1.25417,9.45925,-50.22462,25.41518,-5.09197,10.71342,20.32321,7.98052
44,16,-1.6,75,2,52,48,2.27268,23.53574,-31.06612,61.25981,1.27375,8.97585,-50.63939,25.3263,-4.88604,10.2496,20.44026,7.9793
45,16,-1.6,75,2,52,78,2.27563,24.1744,-31.03347,60.22501,1.25227,8.88868,-50.97285,25.33193,-4.68442,10.14096,20.64751,7.97767
46,16,-1.6,75,4,22,33,2.28421,22.14336,-30.00282,65.52359,1.27192,9.26694,-50.40203,28.35858,-5.4379,10.53887,22.92068,8.01943
47,16,-1.6,75,4,22,48,2.29782,22.98183,-29.91931,65.29955,1.24182,9.21701,-50.37837,28.38437,-5.18206,10.45883,23.20231,8.01876
48,16,-1.6,75,4,22,78,2.31526,23.78746,-29.86801,62.60008,1.1764,9.13741,-50.54507,28.4172,-4.95522,10.31381,23.46198,8.01771
49,16,-1.6,75,4,52,48,2.27168,23.95019,-29.96213,61.01025,1.26656,9.13141,-50.54563,28.33469,-4.97884,10.39797,23.35585,8.01764
50,16,-1.6,75,4,52,78,2.27132,24.62959,-29.93397,59.72462,1.20453,8.99588,-50.75338,28.334,-4.75194,10.20041,23.58206,8.01664
51,16,-1.6,75,6,22,33,1.93385,20.98794,-29.66384,62.2879,1.37366,9.19929,-50.75096,29.39636,-5.50659,10.57295,23.88977,8.01427
52,16,-1.6,75,6,22,48,1.94491,21.7608,-29.54985,61.36795,1.33296,9.12512,-50.55566,29.42113,-5.21641,10.45808,24.20472,8.01418
53,16,-1.6,75,6,22,78,1.93699,22.38543,-29.46086,59.55465,1.26137,8.92695,-50.4921,29.40339,-4.8819,10.18832,24.52148,8.01397
54,16,-1.6,75,6,52,48,1.90491,21.49761,-29.59074,58.66645,1.38685,8.81594,-50.60875,29.33088,-4.97068,10.20279,24.3602,8.01399
55,16,-1.6,75,6,52,78,1.88199,21.89713,-29.51962,58.3503,1.3246,8.57836,-50.513,29.27829,-4.62173,9.90296,24.65656,8.01379
56,16,-1.6,75,8,22,33,2.12205,19.31826,-29.11066,61.08075,1.2763,9.31805,-50.38251,31.04908,-6.42991,10.59435,24.61917,8.01395
57,16,-1.6,75,8,22,48,2.14094,20.43561,-28.92934,61.19763,1.21786,9.23947,-50.01934,31.08755,-6.02913,10.45733,25.05842,8.01401
58,16,-1.6,75,8,22,78,1.92427,21.61355,-28.76138,59.57197,1.11127,8.98283,-49.7411,30.62416,-5.06466,10.09409,25.55951,8.01392
59,16,-1.6,75,8,52,48,2.16246,20.64499,-28.90216,58.38962,1.2677,9.06989,-49.90522,31.13098,-5.82589,10.33759,25.30509,8.01417
60,16,-1.6,75,8,52,78,2.14826,21.81443,-28.72403,57.974,1.1481,8.83615,-49.63843,31.10238,-5.2886,9.98424,25.81378,8.01408
61,16,-1.6,100,2,22,33,2.28596,23.90586,-30.77997,67.67329,1.47948,8.3665,-51.61241,26.60098,-4.71059,9.84598,21.8904,8.01885
62,16,-1.6,100,2,22,48,2.06349,24.13659,-30.76697,67.03389,1.46392,8.36513,-51.71727,26.15633,-4.20291,9.82905,21.95342,8.01857
63,16,-1.6,100,2,22,78,2.07917,24.55368,-30.73672,64.90232,1.43897,8.36696,-51.87961,26.18919,-4.11768,9.80593,22.07152,8.01813
64,16,-1.6,100,2,52,48,2.30696,24.53078,-30.69205,64.12615,1.43921,8.28713,-51.84019,26.64071,-4.48592,9.72634,22.15479,8.01874
65,16,-1.6,100,2,52,78,2.31655,24.94861,-30.67169,62.73811,1.41041,8.25752,-52.04685,26.65872,-4.38301,9.66794,22.27571,8.01815
66,16,-1.6,100,4,22,33,1.96159,22.44842,-29.83321,68.65505,1.51329,8.25079,-50.82345,28.94668,-4.55241,9.76408,24.39427,8.01272
67,16,-1.6,100,4,22,48,1.97051,22.67095,-29.8041,67.04929,1.47452,8.2337,-50.85173,28.9664,-4.4753,9.70821,24.4911,8.01267
68,16,-1.6,100,4,22,78,1.97553,22.92468,-29.76928,64.0914,1.42086,8.1723,-50.90571,28.97743,-4.34502,9.59315,24.63241,8.01258
69,16,-1.6,100,4,52,48,2.00082,23.55172,-29.74139,63.11706,1.45746,8.19716,-50.85098,29.03267,-4.27317,9.65463,24.7595,8.01272
70,16,-1.6,100,4,52,78,1.99593,23.76787,-29.72119,62.07005,1.40438,8.11044,-50.94063,29.02206,-4.13725,9.51483,24.88481,8.01261
71,16,-1.6,100,6,22,33,1.77943,23.62206,-28.93285,66.44143,1.34992,8.61227,-49.94455,30.28432,-4.40377,9.96218,25.88054,8.0133
72,16,-1.6,100,6,22,48,1.80471,24.0668,-28.85933,63.65759,1.25281,8.66072,-49.86322,30.34559,-4.33661,9.91353,26.00897,8.01351
73,16,-1.6,100,6,22,78,1.81089,24.66559,-28.80825,60.94816,1.12412,8.57149,-49.83665,30.36043,-4.17692,9.69562,26.18351,8.01367
74,16,-1.6,100,6,52,48,1.80987,23.95862,-28.92359,59.47921,1.28016,8.59284,-50.02246,30.35798,-4.33922,9.87299,26.01876,8.01343
75,16,-1.6,100,6,52,78,1.81094,24.49799,-28.865,58.26165,1.165,8.47518,-49.97715,30.36056,-4.15731,9.64018,26.20326,8.0136
76,16,-1.6,100,8,22,33,1.72095,21.52323,-28.44799,63.41951,1.16149,8.75635,-49.69989,31.38858,-5.00833,9.91784,26.38025,8.01332
77,16,-1.6,100,8,22,48,1.72147,22.13878,-28.36416,61.8791,1.0731,8.65585,-49.47811,31.38989,-4.79671,9.72895,26.59318,8.01355
78,16,-1.6,100,8,22,78,1.6798,22.74859,-28.35074,59.07863,0.95442,8.30327,-49.42586,31.28347,-4.47145,9.25768,26.81202,8.01367
79,16,-1.6,100,8,52,48,1.70464,21.5347,-28.41857,57.31339,1.10222,8.59859,-49.66336,31.34724,-4.87463,9.70081,26.47261,8.01362
80,16,-1.6,100,8,52,78,1.66353,22.10715,-28.37852,55.45342,0.98992,8.25139,-49.56585,31.24121,-4.53033,9.24132,26.71088,8.01379
81,20,-1.6,25,2,22,33,3.28794,8.99332,-32.66402,48.74913,0.23329,11.88587,-56.92397,22.15895,-11.98169,12.1121,10.17726,7.98943
82,20,-1.6,25,2,22,48,3.27538,10.04041,-32.67926,50.32714,0.25123,11.71449,-55.89412,22.14232,-11.3472,11.95569,10.79511,7.97848
83,20,-1.6,25,2,22,78,3.26595,14.94557,-32.43631,54.42952,0.42117,11.31588,-52.03216,22.1298,-8.92684,11.72264,13.20296,8.01305
84,20,-1.6,25,2,52,48,3.11163,18.37655,-32.28023,56.67358,0.6567,10.54856,-49.91122,21.91959,-7.32841,11.20198,14.59117,7.99229
85,20,-1.6,25,2,52,78,3.05559,23.14562,-31.99191,60.41963,0.83615,9.88788,-49.31216,21.84066,-5.56885,10.71903,16.2718,8.02348
