batchNumber,VDS,VGS,Wg,nfing,gdg_val,gsg_val,fT_plt,fmax_plt,nf_min,gain
13,16,-1.6,25.0,2,22,33,28.86610301,112.7570804,1.223957,1.5682858
14,16,-1.6,25.0,2,22,48,28.47081884,112.97925009999999,1.2194268999999998,1.5321122
15,16,-1.6,25.0,2,22,63,28.15723857,113.13205890000002,1.2159672,1.5018556
16,16,-1.6,25.0,2,22,78,27.89445962,113.2470146,1.2131411,1.475483
17,16,-1.6,25.0,2,37,33,28.72141188,112.5059229,1.2134885,1.3722174999999999
18,16,-1.6,25.0,2,37,48,28.31275127,112.7399487,1.2072268,1.3305850000000001
19,16,-1.6,25.0,2,37,63,27.98903276,112.9028006,1.2023688999999997,1.2959479
20,16,-1.6,25.0,2,37,78,27.71808596,113.02610190000001,1.1983537,1.2658679
21,16,-1.6,25.0,2,52,33,28.55531446,112.335321,1.1990326,1.1374198999999998
22,16,-1.6,25.0,2,52,48,28.13078863,112.5763372,1.1906736,1.0890374
23,16,-1.6,25.0,2,52,63,27.79518477,112.7448071,1.1841323000000001,1.0489886999999998
24,16,-1.6,25.0,2,52,78,27.51467316,112.8729605,1.1786927,1.0143337
37,16,-1.6,37.5,2,22,33,29.99084518,111.14005790000002,1.2385542999999999,2.7111857999999995
38,16,-1.6,37.5,2,22,48,29.71419071,111.382573,1.2345023000000002,2.6801923
39,16,-1.6,37.5,2,22,63,29.49273741,111.55131270000001,1.2314322,2.6543521
40,16,-1.6,37.5,2,22,78,29.30576717,111.67917630000001,1.2289395,2.6318966
41,16,-1.6,37.5,2,37,33,29.88236295,110.86701809999998,1.2325858,2.4794362000000003
42,16,-1.6,37.5,2,37,48,29.59498285,111.12089399999999,1.22739,2.4416808999999997
43,16,-1.6,37.5,2,37,63,29.365189,111.29830829999999,1.2233936,2.4104203999999996
44,16,-1.6,37.5,2,37,78,29.17141057,111.43349840000002,1.2201113000000001,2.3833808999999997
45,16,-1.6,37.5,2,52,33,29.75989159,110.682347,1.2234931,2.2142353999999997
46,16,-1.6,37.5,2,52,48,29.45974645,110.9429865,1.2168791,2.1684226000000004
