,,,,,,batchNumber,VGS,fT_plt,fmax_plt,gm_rf,nf_min,Tj,ft_old,gain,Pdc
,,,,,,min,min,min,min,min,min,min,min,min,min
VDS,Wg,fieldp,nfing,gdg_val,gsg_val,,,,,,,,,,
16,25.0,1,2,22,33,13,-1.6,28.86610301,112.7570804,0.0192118,-1.223957,25.0000432,29.528430100000005,1.5682858,0.071939906
16,25.0,1,2,22,48,14,-1.6,28.47081884,112.97925009999999,0.0192118,-1.2194268999999998,25.0000432,29.145206599999998,1.5321122,0.071939906
16,25.0,1,2,22,63,15,-1.6,28.15723857,113.13205890000002,0.019211900000000004,-1.2159672,25.0000432,28.839585999999997,1.5018556,0.071939906
16,25.0,1,2,22,78,16,-1.6,27.89445962,113.2470146,0.019211900000000004,-1.2131411,25.0000432,28.583040000000004,1.475483,0.071939906
16,25.0,1,2,37,33,17,-1.6,28.72141188,112.5059229,0.0192117,-1.2134885,25.0000432,29.4079465,1.3722174999999999,0.071939906
16,25.0,1,2,37,48,18,-1.6,28.31275127,112.7399487,0.0192118,-1.2072268,25.0000432,29.013694800000003,1.3305850000000001,0.071939907
16,25.0,1,2,37,63,19,-1.6,27.98903276,112.9028006,0.019211900000000004,-1.2023688999999997,25.0000432,28.704452500000002,1.2959479,0.071939907
16,25.0,1,2,37,78,20,-1.6,27.71808596,113.02610190000001,0.019211900000000004,-1.1983537,25.0000432,28.4406604,1.2658679,0.071939907
16,25.0,1,2,52,33,21,-1.6,28.55531446,112.335321,0.0192117,-1.1990326,25.0000432,29.287701300000002,1.1374198999999998,0.071939907
16,25.0,1,2,52,48,22,-1.6,28.13078863,112.5763372,0.0192118,-1.1906736,25.0000432,28.884666999999997,1.0890374,0.071939907
16,25.0,1,2,52,63,23,-1.6,27.79518477,112.7448071,0.0192118,-1.1841323000000001,25.0000432,28.5656688,1.0489886999999998,0.071939907
16,25.0,1,2,52,78,24,-1.6,27.51467316,112.8729605,0.019211900000000004,-1.1786927,25.0000432,28.2930735,1.0143337,0.071939907
16,25.0,1,4,22,33,181,-1.6,29.11436758,112.76304669999999,0.038426,-1.2255818,25.0001115,30.3150093,2.7881562,0.143624365
16,25.0,1,4,22,48,182,-1.6,28.72934606,112.98516609999999,0.0384264,-1.2211288,25.0001115,29.9489485,2.6846943,0.143624366
16,25.0,1,4,22,63,183,-1.6,28.42489928,113.13791090000002,0.0384267,-1.2177373,25.0001115,29.6627375,2.5913015,0.143624366
16,25.0,1,4,22,78,184,-1.6,28.17040949,113.2528358,0.038426999999999996,-1.2149732,25.0001115,29.4191456,2.5039217000000002,0.143624366
16,25.0,1,4,37,33,185,-1.6,28.97100459,112.5119498,0.0384259,-1.2155795,25.0001115,30.1926375,2.4995395,0.143624366
16,25.0,1,4,37,48,186,-1.6,28.57290129,112.74591640000001,0.038426300000000004,-1.2094904,25.0001115,29.821231199999996,2.3790294,0.143624366
16,25.0,1,4,37,63,187,-1.6,28.25852777,112.9087245,0.0384267,-1.2047835,25.0001115,29.5268565,2.2714587,0.143624367
16,25.0,1,4,37,78,188,-1.6,27.99603142,113.03196499999999,0.0384269,-1.2009048,25.0001115,29.276271899999998,2.1717687000000003,0.143624367
16,25.0,1,4,52,33,189,-1.6,28.80648652,112.341398,0.0384259,-1.2016783000000002,25.0001115,30.073587100000005,2.1806727,0.143624366
16,25.0,1,4,52,48,190,-1.6,28.39272449,112.582353,0.038426300000000004,-1.1936031999999999,25.0001115,29.6948243,2.0420839,0.143624367
16,25.0,1,4,52,63,191,-1.6,28.06683037,112.7507777,0.0384266,-1.187309,25.0001115,29.3906642,1.9198042000000002,0.143624367
16,25.0,1,4,52,78,192,-1.6,27.795028499999997,112.878895,0.0384269,-1.1820918,25.0001115,29.131651899999998,1.8075803,0.143624367
16,25.0,1,6,22,33,349,-1.6,29.49449797,112.76470079999999,0.0576453,-1.2268832,25.0001797,31.7897646,2.5944326,0.215308802
16,25.0,1,6,22,48,350,-1.6,29.12648527,112.986799,0.0576465,-1.2225663,25.0001797,31.475799699999996,2.453375,0.215308804
16,25.0,1,6,22,63,351,-1.6,28.837201500000003,113.13952040000001,0.057647500000000004,-1.2192938,25.0001797,31.227605800000003,2.3227147,0.215308804
16,25.0,1,6,22,78,352,-1.6,28.596587800000002,113.25443200000001,0.057648300000000006,-1.2166373,25.0001797,31.0204049,2.1980245,0.215308805
16,25.0,1,6,37,33,353,-1.6,29.35234327,112.5136252,0.0576452,-1.217659,25.0001797,31.663348,2.1950561,0.215308804
16,25.0,1,6,37,48,354,-1.6,28.97151856,112.7475706,0.05764640000000001,-1.2118649,25.0001797,31.339854499999998,2.0335631000000003,0.215308805
16,25.0,1,6,37,63,355,-1.6,28.67257582,112.9103629,0.0576474,-1.2074145,25.0001797,31.0839575,1.8866539,0.215308805
16,25.0,1,6,37,78,356,-1.6,28.42421164,113.03358349999999,0.0576482,-1.203767,25.0001797,30.876443199999997,1.7485043999999998,0.21530880600000002
16,25.0,1,6,52,33,357,-1.6,29.18914728,112.3430896,0.057645100000000005,-1.2046868,25.0001797,31.5462632,1.7674293,0.215308805
16,25.0,1,6,52,48,358,-1.6,28.79323827,112.5840232,0.057646300000000004,-1.1970916999999999,25.0001797,31.211868699999997,1.5854091000000001,0.215308805
16,25.0,1,6,52,63,359,-1.6,28.48294209,112.75243190000002,0.057647300000000005,-1.1912133,25.0001797,30.9496355,1.4226088,0.21530880600000002
16,25.0,1,6,52,78,360,-1.6,28.22546119,112.8805365,0.0576481,-1.1863697,25.0001797,30.7390682,1.2716014,0.21530880600000002
16,25.0,1,8,22,33,517,-1.6,29.48961439,112.7653303,0.07686330000000001,-1.2273771999999998,25.000247899999998,31.7544603,1.8304984,0.28699321899999997
16,25.0,1,8,22,48,518,-1.6,29.13460565,112.9874183,0.0768654,-1.2231033000000002,25.000247899999998,31.4986209,1.6533647,0.28699322
16,25.0,1,8,22,63,519,-1.6,28.85680006,113.14012930000001,0.07686710000000001,-1.219871,25.000247899999998,31.302629800000002,1.4874375,0.286993221
16,25.0,1,8,22,78,520,-1.6,28.626621399999998,113.25503459999999,0.07686849999999999,-1.2172527,25.000247899999998,31.143744800000004,1.3280336000000001,0.286993222
16,25.0,1,8,37,33,521,-1.6,29.34929012,112.514265,0.0768631,-1.2182823,25.000247899999998,31.635154800000002,1.3413761999999998,0.286993221
16,25.0,1,8,37,48,522,-1.6,28.98202002,112.74820020000001,0.0768652,-1.2125829,25.000247899999998,31.371207199999997,1.1436254,0.286993222
16,25.0,1,8,37,63,523,-1.6,28.69488227,112.91098500000001,0.0768669,-1.2082206,25.000247899999998,31.168793599999997,0.9621683000000001,0.286993222
16,25.0,1,8,37,78,524,-1.6,28.45716336,113.0341969,0.0768684,-1.2046561000000002,25.000247899999998,31.0045015,0.7906489999999999,0.286993223
16,25.0,1,8,52,33,525,-1.6,29.18856835,112.343737,0.076863,-1.2054641000000001,25.000247899999998,31.526525,0.8293469000000001,0.286993222
16,25.0,1,8,52,48,526,-1.6,28.80656548,112.58466029999998,0.0768651,-1.198025,25.000247899999998,31.2536406,0.6117125,0.286993222
16,25.0,1,8,52,63,527,-1.6,28.50839032,112.7530615,0.0768668,-1.1922906999999998,25.000247899999998,31.044148699999997,0.41575039999999996,0.286993223
16,25.0,1,8,52,78,528,-1.6,28.26186889,112.88116000000001,0.0768683,-1.1875826,25.000247899999998,30.880100199999998,0.23325079999999998,0.286993223
16,37.5,1,2,22,33,37,-1.6,29.99084518,111.14005790000002,0.028818200000000002,-1.2385542999999999,25.0000773,30.892328600000003,2.7111857999999995,0.107782307
16,37.5,1,2,22,48,38,-1.6,29.71419071,111.382573,0.028818299999999998,-1.2345023000000002,25.0000773,30.646787300000003,2.6801923,0.107782307
16,37.5,1,2,22,63,39,-1.6,29.49273741,111.55131270000001,0.0288184,-1.2314322,25.0000773,30.445155,2.6543521,0.107782307
16,37.5,1,2,22,78,40,-1.6,29.30576717,111.67917630000001,0.0288185,-1.2289395,25.0000773,30.2716679,2.6318966,0.107782307
16,37.5,1,2,37,33,41,-1.6,29.88236295,110.86701809999998,0.0288181,-1.2325858,25.0000773,30.793725899999995,2.4794362000000003,0.10778230800000001
16,37.5,1,2,37,48,42,-1.6,29.59498285,111.12089399999999,0.028818200000000002,-1.22739,25.0000773,30.5407309,2.4416808999999997,0.10778230800000001
16,37.5,1,2,37,63,43,-1.6,29.365189,111.29830829999999,0.0288184,-1.2233936,25.0000773,30.3331208,2.4104203999999996,0.107782309
