vds,wg,nfing,gdg,gsg,batchNum,vgs,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM,area
16,25.0,2,22,33,1,-1.2,2.94487,-8.7936,-31.4489,70.21851,1.31592,11.41928,-50.888729999999995,21.68036,-3.5143699999999995,11.700619999999999,-9.06436,8.02068,50.0
16,25.0,2,22,48,2,-1.2,2.92739,-9.80348,-31.450229999999998,71.90783,1.2493299999999998,11.25724,-51.192609999999995,21.6545,-3.5001,11.54077,-9.66404,8.0198,50.0
16,25.0,2,22,78,3,-1.2,2.90882,-11.34005,-31.48367,72.1155,1.1418700000000002,11.00632,-51.61051,21.62686,-3.4725099999999998,11.31122,-11.211969999999999,8.02295,50.0
16,25.0,2,52,33,129,-1.2,2.86104,-9.03266,-31.387690000000003,67.72586,1.14383,10.79472,-51.09661,21.55494,-3.75757,10.99105,-9.256689999999999,8.02326,50.0
16,25.0,2,52,48,4,-1.2,2.8326599999999997,-10.65443,-31.43375,70.97743,1.2158200000000001,10.657919999999999,-51.79186,21.51165,-3.6664,10.94134,-10.91638,8.02281,50.0
16,25.0,2,52,78,5,-1.2,2.78736,-13.07456,-31.418740000000003,69.92251999999999,1.08429,10.171710000000001,-49.07031,21.44164,-3.53424,10.48968,-12.397089999999999,8.01972,50.0
16,25.0,4,22,33,6,-1.2,2.91702,-7.79997,-30.999740000000003,71.84827,1.47399,11.91715,-50.52381,24.64939,-3.6445199999999995,12.18737,-11.31885,8.01716,100.0
16,25.0,4,22,48,7,-1.2,2.89548,-9.1095,-31.018559999999997,73.30465,1.38676,11.59729,-50.92586,24.6172,-3.56267,11.901489999999999,-12.14387,8.01613,100.0
16,25.0,4,22,78,8,-1.2,2.83292,-11.93865,-31.09137,72.15714,1.32616,11.0312,-51.78371,24.52235,-3.4080800000000004,11.4225,-14.298370000000002,8.025,100.0
16,25.0,4,52,33,130,-1.2,2.8753,-9.75963,-31.13011,68.63887,1.32365,10.88813,-51.79359,24.58683,-3.7014699999999996,11.20642,-12.95255,8.01788,100.0
16,25.0,4,52,48,9,-1.2,2.7983,-11.51051,-31.18794,71.97583,1.2592,10.40572,-49.69443,24.46895,-3.55447,10.76778,-14.72993,8.02373,100.0
16,25.0,4,52,78,10,-1.2,2.6490400000000003,-13.83665,-31.31577,71.21244,1.24044,9.61272,-50.04317,24.23088,-3.25496,10.090119999999999,-16.19932,8.01957,100.0
16,25.0,6,22,33,11,-1.2,2.7615,-8.98434,-30.650609999999997,72.51210999999999,1.44551,11.621189999999999,-50.67889,26.17236,-3.67366,11.955680000000001,-13.86958,8.022639999999999,150.0
16,25.0,6,22,48,12,-1.2,2.71791,-10.713519999999999,-30.659290000000002,74.70055,1.3593600000000001,11.2646,-51.11458,26.103260000000002,-3.58734,11.62544,-14.872470000000002,8.02031,150.0
16,25.0,6,22,78,13,-1.2,2.84461,-12.9279,-30.794009999999997,72.10738,1.29544,10.65024,-50.17265,26.301140000000004,-3.43756,11.10109,-17.0352,8.017719999999999,150.0
16,25.0,6,52,33,131,-1.2,2.9357,-8.78945,-30.671429999999997,69.40080999999999,1.4433,11.2168,-50.99749,26.438029999999998,-3.88659,11.5341,-13.862129999999999,8.023710000000001,150.0
16,25.0,6,52,48,14,-1.2,2.8900799999999998,-10.89297,-30.767290000000003,71.37099,1.31504,10.72799,-51.60272,26.37002,-3.79015,11.07424,-15.488420000000001,8.0192,150.0
16,25.0,6,52,78,15,-1.2,2.7667200000000003,-13.863470000000001,-30.92018,70.90257,1.24673,9.89105,-50.003370000000004,26.18057,-3.5065800000000005,10.34094,-17.6327,8.01605,150.0
16,25.0,8,22,33,16,-1.2,2.64025,-11.0411,-30.381059999999998,73.20312,1.59935,11.61462,-50.58013,27.22675,-3.4986599999999997,12.08665,-16.18131,8.017660000000001,200.0
16,25.0,8,22,48,17,-1.2,2.79053,-12.35104,-30.43447,74.45849,1.51144,11.23515,-50.945370000000004,27.46717,-3.45413,11.7361,-17.48365,8.0164,200.0
